Identifiant unique,date,like facebook,carte fidelite,age,enfants,achat,Sexe,Deja achete,Satisfaction,Revenus mensuels,Point de vente,_Point de vente
c4830ac9-218f-4dde-83f0-fe9fd71dd753,09/01/2015,Non,Non,29,0,B,Homme,Aucun,Peu satisfait,2432,Nice,43.6999233 7.2820611
514bb18e-cb5a-4f49-9ab0-6780b53fb7c2,28/01/2015,Non,Non,42,1,Aucun,Femme,Aucun,,,Lille,50.6338388 3.0616978
e05b6b40-ba77-4956-9fc6-545fc94e66a3,09/02/2015,Oui,Non,43,2,Aucun,Homme,Aucun,,3404,Nantes,47.2237972 -1.6324407
02896e59-3be7-43d3-8a65-ba441e6deeca,16/02/2015,Oui,Non,37,1,Aucun,Femme,A,,740,Brest,48.3921232 -4.482863
7ba24500-9ea7-485d-b5ac-501af4625a71,12/01/2015,Non,Oui,59,1,B,Femme,Aucun,Satisfait,2932,Caen,49.1872438 -0.3670671
5e8c6482-d3d7-4b64-86b5-91f3168e08c3,05/01/2015,Non,Non,20,0,B,Homme,Aucun,Peu satisfait,3477,Nantes,47.2237972 -1.6324407
ff71b870-b9bb-453e-8c66-78653ba59f35,01/01/2015,Non,Non,54,1,Aucun,Homme,B,,,Paris,48.8711538 2.3030992
747438b5-b08a-4245-9511-763d7d123188,16/01/2015,Non,Non,56,0,Aucun,Homme,Aucun,,,Paris,48.8711538 2.3030992
8011f7fe-45b1-4afe-ab5d-753322acb1d4,15/01/2015,Non,Non,27,1,Aucun,Femme,Aucun,,,Nice,43.6999233 7.2820611
33ca78e3-e0c5-4a56-829c-71e80e7cafcf,13/01/2015,Non,Non,55,2,B,Homme,Aucun,Satisfait,1783,Strasbourg,48.5817339 7.7491749
7f0f1513-bd2c-4a59-8340-3063d9ece9d5,05/01/2015,Non,Oui,49,2,Aucun,Homme,B,,1408,Lille,50.6338388 3.0616978
c935719e-c8a9-4ddb-a551-1017d90ccd26,20/02/2015,Non,Non,72,0,B,Homme,Aucun,Satisfait,2244,Nice,43.6999233 7.2820611
08e78001-ac4b-4158-a759-8c5fdc4eda97,02/02/2015,Non,Non,33,3,Aucun,Homme,A,,,Strasbourg,48.5817339 7.7491749
fab9f637-997e-4b37-bf07-2474cfd7c80f,16/01/2015,Non,Non,48,3,B,Femme,Aucun,Insatisfait,3573,Paris,48.8711538 2.3030992
9a1d1cee-1143-4573-baa6-5732dc5eb659,14/01/2015,Non,Oui,52,1,A,Femme,B,Tres satisfait,4564,Paris,48.8711538 2.3030992
b0cb6d41-c41b-4683-af25-1ff0524dbe16,31/01/2015,Non,Non,62,2,Aucun,Homme,Aucun,,3156,Nantes,47.2237972 -1.6324407
1873e6bf-6f42-495a-8060-fd59c8bbdc79,10/02/2015,Non,Non,36,0,Aucun,Femme,B,,1474,Caen,49.1872438 -0.3670671
9b24017d-372f-4392-9fed-5525fd556435,13/01/2015,Non,Oui,66,0,B,Homme,A,Tres satisfait,1503,Strasbourg,48.5817339 7.7491749
ebb928cf-34d8-4feb-b60b-8cbaa2d149a4,08/02/2015,Oui,Non,58,0,Aucun,Homme,Aucun,,996,,50.6338388 3.0616978
5973789c-e0b4-42ad-9fd9-4060d9a3d089,03/02/2015,Non,Non,30,2,Aucun,Homme,A,,,Lille,50.6338388 3.0616978
1ce47cb4-8ae8-4118-a3b9-44373de90fbe,10/01/2015,Non,Non,43,1,B,Femme,Aucun,Insatisfait,2516,Bordeaux,44.8538741 -0.5677843
31bf966d-b530-40e3-9c16-16a7465d4477,08/02/2015,Non,Non,31,2,Aucun,Homme,Aucun,,1396,Nice,43.6999233 7.2820611
8daea8a5-97e8-40c2-96c0-ced1789bb77d,04/02/2015,Non,Non,46,2,Aucun,Homme,Aucun,,1009,Nice,43.6999233 7.2820611
b0351fda-a3df-4423-87de-186f34cbca77,28/01/2015,Non,Non,25,0,Aucun,Homme,A,,3694,Toulouse,43.6031363 1.4428025
7dcbda62-daa9-445d-ad0c-77ce59ea2ff1,27/02/2015,Non,Non,25,0,A,Femme,A,Satisfait,5975,Nice,43.6999233 7.2820611
a2036eaf-7660-4d48-bafc-59d399c4146f,01/02/2015,Non,Oui,55,2,A,Femme,Aucun,Satisfait,4486,Nice,43.6999233 7.2820611
