motif_contact,mode_contact,domaine,date_creation_affaire,delai_traitement,tranche_age,genre,annee_adhesion,situation_familiale,region_anterieure,region_nouvelle,gamme,libelle_gamme,offre,libelle_offre,formule,libelle_formule,t_centre3,fonctionevo,cible,vague,Recommandation,Premier contact MGEN ?,Votre interlocuteur vous a-t-il semblé tout mettre en œuvre pour répondre à votre demande?,réponse claire,réponse appropriée,réponse complète,Satisfaction globale
Demande d'informations et d'explications,Appel Entrant,01- Gestion du dossier RO/Noémie,3/1/2016,0,18-24 ans,Féminin,1995,Célibataire,HAUTE-NORMANDIE,NORMANDIE,,,,,,,Centres d'Appels,Téléconseiller,Téléphone,201610,6,Oui,Oui tout à fait,Oui plutôt,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,04- Cotisations/Calcul de la cotisation,3/1/2016,1,65 ans et +,Masculin,1971,Divorcé(e),PICARDIE,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,,,Mail,201610,6,Non,,Non plutôt pas,Non plutôt pas,Non plutôt pas,Peu satisfait
Réclamations particuliers,Appel entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",2/17/2016,16,55-64 ans,Masculin,1981,Marié(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Appel entrant,06- Santé/Actes médicaux courants,2/16/2016,16,45-54 ans,Féminin,1993,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Centres de Gestion,Technicien prestations services centre de gestion,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/1/2016,2,65 ans et +,Féminin,1995,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,,,Mail,201610,8,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Accueil physique,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,3/2/2016,0,65 ans et +,Féminin,1955,Marié(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,,,,,,,Sections départementales,Spécialiste prestations services réseau,Accueil physique,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,08- Dentaire Optique Audioprothèses/Dentaire - Orthodontie,2/28/2016,1,35-44 ans,Féminin,1996,Marié(e),LA REUNION,LA REUNION,,,,,,,,,Mail,201610,5,Non,,Oui plutôt,Non plutôt pas,Non plutôt pas,Pas du tout satisfait
Demande de modifications,Courrier entrant,01- Gestion du dossier RO/Noémie,3/1/2016,0,18-24 ans,Féminin,1984,Célibataire,LORRAINE,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Courrier,201610,5,Non,,Oui plutôt,Oui plutôt,Non plutôt pas,Peu satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/4/2016,0,65 ans et +,Masculin,1964,Marié(e),BRETAGNE,BRETAGNE,,,,,,,,,Mail,201610,10,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/4/2016,3,45-54 ans,Féminin,2007,Divorcé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,,,Mail,201610,6,Oui,,Non pas du tout,Non plutôt pas,Non plutôt pas,Peu satisfait
